source	reference	greedy	beam
نارمن (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے 10 ویں اور 11 ویں صدیوں میں <ans> فرانس </ans> کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنڈی کس ملک میں واقع ہے؟	کس خطے میں نام سے جانا جاتا تھا؟	اس خطے کو کس نام سے جانا جاتا تھا؟
نارمنز (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے <ans> دسویں اور گیارہویں صدیوں </ans> میں فرانس کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنز نارمنڈی میں کب تھے؟	فرانس نے اپنا علاقہ کب نام دیا؟	فرانس نے اپنا علاقہ کب نام دیا؟
نارمن (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے <ans> دسویں اور گیارہویں صدیوں میں </ans> فرانس کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنز نارمنڈی میں کب تھے؟	فرانس نے اپنا علاقہ کب نام دیا؟	پروشیا نے اپنا علاقہ کب نام دیا؟
وہ <ans> ڈنمارک ، آئس لینڈ اور ناروے </ans> کے نارمن (نورمن نارمن سے آتا ہے) حملہ آوروں اور قزاقوں سے descended تھے ، جنہوں نے اپنے رہنما رولو کے تحت ، مغربی فرانس کے بادشاہ چارلس III کے ساتھ وفاداری کی قسم کھانے پر اتفاق کیا۔	نورس کس ملک سے پیدا ہوئے تھے؟	پروشیا کے کس سے دو ممالک نے پروشیا کے؟	کون سے دو ممالک نے پروشیا سے لڑنے کی کوشش کی؟
وہ ڈنمارک ، آئس لینڈ اور ناروے کے نارمن (نورمن نارمن سے آتا ہے) حملہ آوروں اور قزاقوں سے descended تھے ، جنہوں نے اپنے رہنما <ans> رولو </ans> کے تحت ، مغربی فرانس کے بادشاہ چارلس III کے ساتھ وفاداری کی قسم کھانے پر اتفاق کیا۔	نورس لیڈر کون تھا؟	نپولین نے کس کے کے کے کے؟	نپولین نے کس کے کے کو کس کرنے کی کوشش کی؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں صدی </ans> کے پہلے نصف میں سامنے آئی ، اور اس نے بعد کی صدیوں میں ترقی جاری رکھی۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	کس تاریخی طور پر شناخت کب شروع ہوئیں؟	نسلی طور پر کب شناخت کیا گیا تھا؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں صدی کے پہلے نصف </ans> میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	کس نسلی اور ثقافتی شناخت کب کب ہوئیں؟	ابتدائی طور پر شناخت کب شروع ہوئیں؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں </ans> صدی کے پہلے نصف میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	کس صدی میں پہلے اور ثقافتی شناخت کی اکثریت تیار ہوئے؟	ابتدائی طور پر شناخت کب شروع ہوئیں؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں </ans> صدی کے پہلے نصف میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	کس صدی میں پہلے اور ثقافتی شناخت کی اکثریت تیار ہوئے؟	ابتدائی طور پر شناخت کب شروع ہوئیں؟
نارمن مہم جوئیوں نے جنوبی اٹلی کو سارسین اور بازنطینیوں پر فتح کرنے کے بعد روجر دوم کے تحت سسلی کی بادشاہی کی بنیاد رکھی ، اور ان کے ڈیوک ، <ans> ولیم فاتح </ans> کی طرف سے ایک مہم نے 1066 میں ہیسٹنگز کی لڑائی میں انگلینڈ کی نارمن فتح کی قیادت کی۔	ہیسٹنگس کی لڑائی میں ڈیوک کون تھا؟	کس نے نے کس کی فتح کی؟	کس نے نے کس کی فتح کی؟ کی؟
